Status,Member_ID,CPI,Site_ID,Sub_ID,Token,Email,IP_Address,Click_Date,Activity_Date,Reviewed,Lapse_Time,Test_Record,Old_token
DNC,,,,,2aba88a8ef70fc1d1ba97830482bfff1,,97.65.116.162,"2010-07-13 12:34:41"," --NA-- ",NO," --NA-- ",No,NA
DNC,,,,,b90bd3a19dd794d670591b53e1f83864,,99.237.148.200,"2010-07-13 12:53:42"," --NA-- ",NO," --NA-- ",No,NA
