timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1316174680394,241,Click Survey,200,OK,Success 1-8,text,true,686,241
1316174681097,210,Click Survey,200,OK,Success 1-14,text,true,686,210
1316174682362,223,Click Survey,200,OK,Success 1-4,text,true,686,223
1316174684847,359,Click Survey,200,OK,Success 1-17,text,true,686,359
1316174672909,13038,Click Survey,200,OK,Success 1-6,text,true,263229,12981
1316174685956,498,Click Survey,200,OK,Success 1-13,text,true,686,498
1316174695347,245,Click Survey,200,OK,Success 1-20,text,true,686,245
1316174695362,445,Click Survey,200,OK,Success 1-16,text,true,686,445
1316174670331,25580,Click Survey,200,OK,Success 1-2,text,true,263229,25537
1316174698253,249,Click Survey,200,OK,Success 1-19,text,true,686,249
1316174698362,284,Click Survey,200,OK,Success 1-15,text,true,686,284
1316174699347,235,Click Survey,200,OK,Success 1-18,text,true,686,235
1316174676612,24761,Click Survey,200,OK,Success 1-12,text,true,263229,24713
1316174684691,18563,Click Survey,200,OK,Success 1-11,text,true,263229,18520
1316174687706,17297,Click Survey,200,OK,Success 1-3,text,true,263229,17245
1316174709941,233,Click Survey,200,OK,Success 1-1,text,true,686,233
1316174724206,266,Click Survey,200,OK,Success 1-7,text,true,686,266
1316174708441,17570,Click Survey,200,OK,Success 1-5,text,true,263228,17527
1316174726300,264,Click Survey,200,OK,Success 1-9,text,true,686,264
1316174728534,340,Click Survey,200,OK,Success 1-10,text,true,686,340
1316174728644,498,Click Survey,200,OK,Success 1-4,text,true,686,498
1316174728831,398,Click Survey,200,OK,Success 1-13,text,true,686,398
1316174730472,452,Click Survey,200,OK,Success 1-14,text,true,686,452
1316174730550,368,Click Survey,200,OK,Success 1-6,text,true,686,368
1316174733800,249,Click Survey,200,OK,Success 1-16,text,true,686,249
1316174736300,320,Click Survey,200,OK,Success 1-2,text,true,686,320
1316174740253,274,Click Survey,200,OK,Success 1-19,text,true,686,274
1316174742112,249,Click Survey,200,OK,Success 1-20,text,true,686,249
1316174744675,274,Click Survey,200,OK,Success 1-11,text,true,686,274
1316174726972,19157,Click Survey,200,OK,Success 1-8,text,true,262597,19080
1316174751784,367,Click Survey,200,OK,Success 1-15,text,true,686,367
1316174754941,376,Click Survey,200,OK,Success 1-12,text,true,686,376
1316174755003,329,Click Survey,200,OK,Success 1-3,text,true,686,329
1316174731675,25176,Click Survey,200,OK,Success 1-17,text,true,263229,25133
1316174757784,357,Click Survey,200,OK,Success 1-1,text,true,686,357
1316174769066,241,Click Survey,200,OK,Success 1-4,text,true,686,241
1316174774925,320,Click Survey,200,OK,Success 1-9,text,true,686,320
1316174755816,20169,Click Survey,200,OK,Success 1-18,text,true,263229,20113
1316174780347,438,Click Survey,200,OK,Success 1-16,text,true,686,438
1316174780425,364,Click Survey,200,OK,Success 1-5,text,true,686,364
1316174781925,814,Click Survey,200,OK,Success 1-13,text,true,686,814
1316174786612,396,Click Survey,200,OK,Success 1-10,text,true,686,396
1316174768659,18364,Click Survey,200,OK,Success 1-7,text,true,253833,18305
1316174787612,234,Click Survey,200,OK,Success 1-2,text,true,686,234
1316174789628,233,Click Survey,200,OK,Success 1-14,text,true,686,233
1316174790284,275,Click Survey,200,OK,Success 1-19,text,true,686,275
1316174792941,669,Click Survey,200,OK,Success 1-20,text,true,686,669
1316174794409,362,Click Survey,200,OK,Success 1-11,text,true,686,362
1316174796206,413,Click Survey,200,OK,Success 1-8,text,true,686,413
1316174775722,21527,Click Survey,200,OK,Success 1-6,text,true,263228,21348
1316174802800,392,Click Survey,200,OK,Success 1-15,text,true,686,392
1316174808581,302,Click Survey,200,OK,Success 1-12,text,true,686,302
1316174809878,243,Click Survey,200,OK,Success 1-1,text,true,686,243
1316174811191,375,Click Survey,200,OK,Success 1-3,text,true,686,375
1316174811472,351,Click Survey,200,OK,Success 1-17,text,true,686,351
1316174821581,280,Click Survey,200,OK,Success 1-4,text,true,686,280
1316174828878,263,Click Survey,200,OK,Success 1-9,text,true,686,262
1316174829003,298,Click Survey,200,OK,Success 1-18,text,true,686,298
1316174833362,272,Click Survey,200,OK,Success 1-16,text,true,686,272
1316174835925,262,Click Survey,200,OK,Success 1-7,text,true,686,262
1316174836175,236,Click Survey,200,OK,Success 1-5,text,true,686,236
1316174835987,499,Click Survey,200,OK,Success 1-13,text,true,686,499
1316174836784,256,Click Survey,200,OK,Success 1-2,text,true,686,256
1316174838878,323,Click Survey,200,OK,Success 1-19,text,true,686,323
1316174839003,231,Click Survey,200,OK,Success 1-10,text,true,686,231
1316174839066,632,Click Survey,200,OK,Success 1-11,text,true,686,632
1316174840691,397,Click Survey,200,OK,Success 1-20,text,true,686,397
1316174840612,488,Click Survey,200,OK,Success 1-14,text,true,686,488
1316174845331,299,Click Survey,200,OK,Success 1-6,text,true,686,299
1316174846331,321,Click Survey,200,OK,Success 1-8,text,true,686,321
1316174850112,249,Click Survey,200,OK,Success 1-15,text,true,686,249
1316174858550,228,Click Survey,200,OK,Success 1-17,text,true,686,228
1316174859034,436,Click Survey,200,OK,Success 1-12,text,true,686,436
1316174861300,216,Click Survey,200,OK,Success 1-4,text,true,686,216
1316174862316,229,Click Survey,200,OK,Success 1-1,text,true,686,229
1316174864066,629,Click Survey,200,OK,Success 1-3,text,true,686,629
1316174871097,344,Click Survey,200,OK,Success 1-9,text,true,686,344
1316174871331,281,Click Survey,200,OK,Success 1-18,text,true,686,281
1316174875300,246,Click Survey,200,OK,Success 1-16,text,true,686,246
1316174876909,220,Click Survey,200,OK,Success 1-13,text,true,686,220
1316174877222,294,Click Survey,200,OK,Success 1-2,text,true,686,294
1316174879503,255,Click Survey,200,OK,Success 1-7,text,true,686,255
1316174880003,231,Click Survey,200,OK,Success 1-11,text,true,686,231
1316174880003,263,Click Survey,200,OK,Success 1-5,text,true,686,263
1316174880300,317,Click Survey,200,OK,Success 1-20,text,true,686,317
1316174881941,213,Click Survey,200,OK,Success 1-19,text,true,686,213
1316174882316,336,Click Survey,200,OK,Success 1-14,text,true,686,336
1316174883956,461,Click Survey,200,OK,Success 1-8,text,true,686,461
1316174885362,3308,Click Survey,200,OK,Success 1-10,text,true,686,3308
1316174890909,216,Click Survey,200,OK,Success 1-6,text,true,686,216
1316174892097,318,Click Survey,200,OK,Success 1-15,text,true,686,317
1316174896222,398,Click Survey,200,OK,Success 1-12,text,true,686,398
1316174899409,327,Click Survey,200,OK,Success 1-17,text,true,686,327
1316174899597,259,Click Survey,200,OK,Success 1-4,text,true,686,259
1316174901347,235,Click Survey,200,OK,Success 1-1,text,true,686,235
1316174901878,204,Click Survey,200,OK,Success 1-3,text,true,686,204
1316174908597,244,Click Survey,200,OK,Success 1-18,text,true,686,244
1316174908925,270,Click Survey,200,OK,Success 1-9,text,true,686,270
1316174910909,198,Click Survey,200,OK,Success 1-16,text,true,685,198
1316174914159,357,Click Survey,200,OK,Success 1-13,text,true,685,357
1316174914534,743,Click Survey,200,OK,Success 1-2,text,true,685,743
1316174916925,251,Click Survey,200,OK,Success 1-11,text,true,685,251
1316174919800,264,Click Survey,200,OK,Success 1-19,text,true,685,264
1316174920097,296,Click Survey,200,OK,Success 1-5,text,true,685,296
1316174920425,442,Click Survey,200,OK,Success 1-7,text,true,685,442
1316174921612,260,Click Survey,200,OK,Success 1-14,text,true,685,260
1316174922034,470,Click Survey,200,OK,Success 1-20,text,true,685,470
1316174923550,432,Click Survey,200,OK,Success 1-8,text,true,685,432
1316174925019,349,Click Survey,200,OK,Success 1-10,text,true,685,349
1316174928409,239,Click Survey,200,OK,Success 1-6,text,true,685,239
1316174929644,243,Click Survey,200,OK,Success 1-15,text,true,685,243
1316174935534,233,Click Survey,200,OK,Success 1-12,text,true,685,233
1316174939191,277,Click Survey,200,OK,Success 1-17,text,true,685,277
1316174939316,213,Click Survey,200,OK,Success 1-4,text,true,685,213
1316174941050,325,Click Survey,200,OK,Success 1-3,text,true,685,325
1316174942347,241,Click Survey,200,OK,Success 1-1,text,true,685,241
1316174945269,192,Click Survey,200,OK,Success 1-15,text,true,16783,190
1316174946691,149,Click Survey,200,OK,Success 1-15,text,true,16783,146
1316174946597,270,Click Survey,200,OK,Success 1-9,text,true,685,270
1316174946612,261,Click Survey,200,OK,Success 1-18,text,true,685,261
1316174947800,287,Click Survey,200,OK,Success 1-16,text,true,685,287
1316174953644,278,Click Survey,200,OK,Success 1-13,text,true,685,278
1316174954409,240,Click Survey,200,OK,Success 1-2,text,true,685,240
1316174956659,283,Click Survey,200,OK,Success 1-11,text,true,685,283
1316174962706,306,Click Survey,200,OK,Success 1-19,text,true,685,306
1316174963331,234,Click Survey,200,OK,Success 1-5,text,true,685,234
1316174963878,312,Click Survey,200,OK,Success 1-7,text,true,685,312
1316174965253,221,Click Survey,200,OK,Success 1-14,text,true,685,221
1316174965894,280,Click Survey,200,OK,Success 1-20,text,true,685,280
1316174967456,503,Click Survey,200,OK,Success 1-8,text,true,685,503
1316174967566,404,Click Survey,200,OK,Success 1-10,text,true,685,404
1316174969644,371,Click Survey,200,OK,Success 1-6,text,true,685,371
1316174973206,1983,Click Survey,200,OK,Success 1-15,text,true,685,1983
1316174975144,246,Click Survey,200,OK,Success 1-12,text,true,685,246
1316174981706,206,Click Survey,200,OK,Success 1-17,text,true,685,206
1316174982206,295,Click Survey,200,OK,Success 1-4,text,true,685,295
1316174987597,301,Click Survey,200,OK,Success 1-3,text,true,685,301
1316174988206,330,Click Survey,200,OK,Success 1-1,text,true,685,330
1316174989597,257,Click Survey,200,OK,Success 1-9,text,true,685,257
1316174990472,273,Click Survey,200,OK,Success 1-18,text,true,685,273
1316174991206,209,Click Survey,200,OK,Success 1-16,text,true,685,209
1316174993066,356,Click Survey,200,OK,Success 1-13,text,true,685,356
1316174994331,342,Click Survey,200,OK,Success 1-2,text,true,685,342
1316174996784,343,Click Survey,200,OK,Success 1-11,text,true,685,343
1316175011191,249,Click Survey,200,OK,Success 1-19,text,true,685,249
1316175014331,314,Click Survey,200,OK,Success 1-5,text,true,685,314
1316175015425,254,Click Survey,200,OK,Success 1-7,text,true,685,254
1316175016581,382,Click Survey,200,OK,Success 1-14,text,true,685,382
1316175018581,379,Click Survey,200,OK,Success 1-20,text,true,685,379
1316175019159,347,Click Survey,200,OK,Success 1-8,text,true,685,347
1316175019503,293,Click Survey,200,OK,Success 1-10,text,true,685,293
1316175019566,382,Click Survey,200,OK,Success 1-6,text,true,685,382
1316175019706,309,Click Survey,200,OK,Success 1-15,text,true,685,309
1316175020097,320,Click Survey,200,OK,Success 1-12,text,true,685,320
1316175020784,283,Click Survey,200,OK,Success 1-4,text,true,685,283
1316175021112,549,Click Survey,200,OK,Success 1-17,text,true,685,549
1316175029862,355,Click Survey,200,OK,Success 1-18,text,true,685,355
1316175031222,346,Click Survey,200,OK,Success 1-3,text,true,685,346
1316175032269,286,Click Survey,200,OK,Success 1-1,text,true,685,286
1316175033019,538,Click Survey,200,OK,Success 1-9,text,true,685,538
1316175039191,353,Click Survey,200,OK,Success 1-16,text,true,685,353
1316175039300,350,Click Survey,200,OK,Success 1-13,text,true,685,350
1316175041066,296,Click Survey,200,OK,Success 1-2,text,true,685,295
1316175043737,235,Click Survey,200,OK,Success 1-11,text,true,685,235
1316175047847,256,Click Survey,200,OK,Success 1-19,text,true,685,256
1316175049566,308,Click Survey,200,OK,Success 1-7,text,true,685,308
1316175054378,484,Click Survey,200,OK,Success 1-20,text,true,685,484
1316175054691,261,Click Survey,200,OK,Success 1-5,text,true,685,261
1316175057034,200,Click Survey,200,OK,Success 1-4,text,true,685,200
1316175059956,356,Click Survey,200,OK,Success 1-8,text,true,685,356
1316175060487,341,Click Survey,200,OK,Success 1-17,text,true,685,341
1316175060675,284,Click Survey,200,OK,Success 1-6,text,true,685,284
1316175061112,491,Click Survey,200,OK,Success 1-12,text,true,685,491
1316175063097,374,Click Survey,200,OK,Success 1-14,text,true,684,374
1316175065425,302,Click Survey,200,OK,Success 1-15,text,true,684,302
1316175065737,197,Click Survey,200,OK,Success 1-10,text,true,684,197
1316175068175,199,Click Survey,200,OK,Success 1-3,text,true,684,199
1316175072128,248,Click Survey,200,OK,Success 1-18,text,true,684,248
1316175072753,216,Click Survey,200,OK,Success 1-9,text,true,684,216
1316175073597,2747,Click Survey,200,OK,Success 1-1,text,true,686,2747
1316175077769,445,Click Survey,200,OK,Success 1-16,text,true,4668,445
1316175078050,387,Click Survey,200,OK,Success 1-13,text,true,4667,387
