timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1322831779685,767,Click Survey,200,OK,Success 1 1-1,text,true,749,767
1322831780357,816,Click Survey,200,OK,Success 1 1-3,text,true,749,816
1322831780701,889,Click Survey,200,OK,Success 1 1-5,text,true,749,889
1322831781341,1250,Click Survey,200,OK,Success 1 1-7,text,true,749,1250
1322831782341,1132,Click Survey,200,OK,Success 1 1-9,text,true,749,1132
1322831784732,1277,Click Survey,200,OK,Success 1 1-13,text,true,749,1277
1322831784638,1403,Click Survey,200,OK,Success 1 1-11,text,true,749,1403
1322831786201,923,Click Survey,200,OK,Success 1 1-15,text,true,749,923
1322831787373,1056,Click Survey,200,OK,Success 1 1-17,text,true,749,1056
1322831788169,948,Click Survey,200,OK,Success 1 1-2,text,true,749,948
1322831789341,1185,Click Survey,200,OK,Success 1 1-6,text,true,749,1185
1322831790044,827,Click Survey,200,OK,Success 1 1-12,text,true,4669,827
1322831789639,1320,Click Survey,200,OK,Success 1 1-4,text,true,746,1320
1322831789810,1503,Click Survey,200,OK,Success 1 1-8,text,true,749,1503
1322831790138,1318,Click Survey,200,OK,Success 1 1-10,text,true,749,1318
1322831790716,868,Click Survey,200,OK,Success 1 1-19,text,true,746,868
1322831791263,805,Click Survey,200,OK,Success 1 1-21,text,true,749,805
1322831791826,1102,Click Survey,200,OK,Success 1 1-14,text,true,746,1101
1322831792419,1353,Click Survey,200,OK,Success 1 1-16,text,true,746,1353
1322831793044,957,Click Survey,200,OK,Success 1 1-23,text,true,746,957
1322831793466,667,Click Survey,200,OK,Success 1 1-25,text,true,746,667
1322831794466,1061,Click Survey,200,OK,Success 1 1-18,text,true,746,1061
1322831795216,785,Click Survey,200,OK,Success 1 1-20,text,true,749,785
1322831796935,864,Click Survey,200,OK,Success 1 1-22,text,true,746,864
1322831797482,744,Click Survey,200,OK,Success 1 1-24,text,true,749,744
1322831799608,922,Click Survey,200,OK,Success 1 1-3,text,true,746,921
1322831800216,845,Click Survey,200,OK,Success 1 1-5,text,true,749,845
1322831800966,741,Click Survey,200,OK,Success 1 1-7,text,true,749,741
1322831805123,838,Click Survey,200,OK,Success 1 1-11,text,true,4668,838
1322831804716,1265,Click Survey,200,OK,Success 1 1-13,text,true,749,1265
1322831805201,1525,Click Survey,200,OK,Success 1 1-1,text,true,749,1525
1322831805560,1520,Click Survey,200,OK,Success 1 1-15,text,true,749,1520
1322831809654,803,Click Survey,200,OK,Success 1 1-10,text,true,4668,803
1322831809826,897,Click Survey,200,OK,Success 1 1-12,text,true,749,897
1322831809982,850,Click Survey,200,OK,Success 1 1-8,text,true,749,850
1322831810326,866,Click Survey,200,OK,Success 1 1-9,text,true,749,866
1322831811966,908,Click Survey,200,OK,Success 1 1-23,text,true,749,908
1322831814982,751,Click Survey,200,OK,Success 1 1-17,text,true,749,751
