elapsed,label,responseCode,responseMessage,threadName,success,failureMessage
185,Get client/channels,200,OK,Profiles and Channels 5-6,true,
817,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-1,false,
150,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-3,true,
1618,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-2,false,
153,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-4,true,
130,Get client/publisherPLSites,200,OK,Extra Profiles and Misc 6-5,true,
104,Get client/channels,200,OK,Extra Profiles and Misc 6-6,true,
100,Get client/defaultSettings,200,OK,Extra Profiles and Misc 6-7,true,
70,Get client/additionalEmployees,200,OK,Extra Profiles and Misc 6-8,true,
347,Get client/projects,200,OK,Extra Profiles and Misc 6-9,true,
267,Get client/salesRepresentatives,200,OK,Extra Profiles and Misc 6-10,true,
139,Get client/projectManagers,200,OK,Extra Profiles and Misc 6-11,true,
105,Get jobRoles,200,OK,Countries 7-1,true,
63,Get jobRoles/1/jobTitles,200,OK,Countries 7-2,true,
106,Get countries/254/states/137/counties,200,OK,Countries 7-3,true,
225,Get countries/43/states/35/cities,200,OK,Countries 7-4,true,
72,Get countries/254/states/137/counties/3014/cities,200,OK,Countries 7-5,true,
110,Get countries/254/regions,200,OK,Countries 7-6,true,
64,Get countries/254/states,200,OK,Countries 7-7,true,
8712,US English Feasibility,200,OK,Criteria 1 8-1,true,
4116,Demographic Criteria,200,OK,Criteria 2 9-1,true,
1839,Geo Criteria,200,OK,Criteria 3 10-1,true,
4843,Profile Criteria,200,OK,Criteria 4 11-1,true,
127,Member Search,200,OK,Member Search 12-1,true,
168,Profile Search,200,OK,Profile Search 13-1,true,
3210,Create Project,500,Internal Server Error,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
0,Project PUT,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
1,Project GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
0,Create Group,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
0,Group PUT,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
0,Group GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
0,Channel PUT,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222/channels/usamp': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Channel GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222/channels/usamp': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""channelId"":""usamp""/"
0,PanelDashboard,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222/panelDashboard': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,PanelDashboard GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222/panelDashboard': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /{""panelDashboard"":{""displayNameForSurvey"":""Auto Test""/"
1,LiveCloseSettings,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/liveCloseSettings': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,LiveCloseSettings GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222/liveCloseSettings': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,PanelShield,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/panelShieldSettings': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,PanelShield GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222/panelShieldSettings': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /{""maxClickValCheck"":""Y"",""maxClickVal"":4,""geoIPCheck"":""N"",""suspiciousProxyCheck"":""N"",""speederCheck"":""N"",""relevantIDCheck"":""N""}/"
0,SurveyUrl,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/surveyUrl': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,SurveyUrl GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/groups/222/surveyUrl': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""surveyUrl""/"
1,Status,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/status': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Status GET,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/status': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /{""status"":""live""}/"
1,Soft Fail,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/softFail': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
1,Bonus,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/bonus': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Copy Project,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/copyProject': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
847,Delete Project,401,Unauthorized,Normal Client - Survey Flow 1-1,false,
518,Group Encode,200,OK,Normal Client - Survey Flow 1-1,true,
269,Project Encode,200,OK,Normal Client - Survey Flow 1-1,true,
251,Client Encode,200,OK,Normal Client - Survey Flow 1-1,true,
411,/index.php,200,OK,Normal Client - Survey Flow 1-1,true,
232,/dashboard.php,200,OK,Normal Client - Survey Flow 1-1,true,
3435,/getDashboard.php,200,OK,Normal Client - Survey Flow 1-1,true,
382,/get4sDashboard.php,200,OK,Normal Client - Survey Flow 1-1,true,
166,Click Survey 1,302,Found,Normal Client - Survey Flow 1-1,true,
327,Click Survey 2,200,OK,Normal Client - Survey Flow 1-1,true,
12,Redirect,302,Found,Normal Client - Survey Flow 1-1,true,
682,/ssred.php,200,OK,Normal Client - Survey Flow 1-1,true,
211,Dashboard after complete,200,OK,Normal Client - Survey Flow 1-1,true,
0,Status Close,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/status': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Status GET Close,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/status': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /{""status"":""close""}/"
1,Stats,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/stats': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""clickCount"":1/"
0,Completes,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/completes': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
0,Review Completes,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/reviewCompletes': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Review History,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/reviewHistory': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Undo Review History,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/undoReviewHistory': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Review Completes,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/reviewCompletes': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Complete Project,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/status': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Complete Project Attempt 2,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/status': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,
0,Status Check Complete,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/status': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /{""status"":""complete""}/"
